IDs,final_classification,genebank_id,accession_id,start,stop,gene_description,socus,sig_seq,is_family,group,origin,bits_score,e_value,final_call
gene:plasmid:110253,plasmid,3896982,NC_007773.1,10534,10908,hypothetical protein,pCPF5603_13,IS1630,IS30,,Mycoplasma fermentans,38.2,0.01,plasmid
gene:plasmid:110255,plasmid,3896984,NC_007773.1,11391,12383,LexA repressor,pCPF5603_15,ISTde1,IS1202,ISTde1,Treponema denticola,36.2,0.11,plasmid
gene:plasmid:110278,plasmid,3897007,NC_007773.1,36907,37401,hypothetical protein,pCPF5603_38,ISCysp22,IS701,ISAba11,Cyanothece sp.,36.2,0.054,plasmid
gene:plasmid:110279,plasmid,3897008,NC_007773.1,37467,37694,hypothetical protein,pCPF5603_39,ISBce10,IS4,IS231,Bacillus cereus,34.2,0.095,plasmid
gene:plasmid:110280,plasmid,3897009,NC_007773.1,37980,38510,LexA repressor,pCPF5603_40,ISMaq5,ISNCY,ISDol1,Marinobacter aquaeolei,36.2,0.059,plasmid
gene:plasmid:110281,plasmid,3897010,NC_007773.1,38577,39047,hypothetical protein,pCPF5603_41,ISPaen6,IS1595,,Paenibacillus sp.,32.2,0.81,plasmid
gene:plasmid:110282,plasmid,3897011,NC_007773.1,39270,39593,transcriptional regulator,pCPF5603_42,ISFba4,IS1595,ISSod11,Flavobacteria bacterium,34.2,0.14,plasmid
gene:plasmid:110283,plasmid,3897012,NC_007773.1,39597,40238,hypothetical protein,pCPF5603_43,MICBth3,IS4,IS231,Bacillus thuringiensis,42.1,0.001,plasmid
gene:plasmid:110284,plasmid,3897013,NC_007773.1,40249,41046,beta-2 toxin,pCPF5603_44,ISAlw26,IS3,IS3,Acinetobacter lwoffii,32.2,1.4,plasmid
gene:plasmid:110285,plasmid,3897014,NC_007773.1,41675,42409,putative resolvase,pCPF5603_45,ISLlo2,IS1182,,Legionella longbeachae,34.2,0.32,plasmid
gene:plasmid:110293,plasmid,3897022,NC_007773.1,49994,50851,hypothetical protein,pCPF5603_53,ISCpe5,IS1182,,Clostridium perfringens,34.2,0.38,plasmid
gene:plasmid:110295,plasmid,3897024,NC_007773.1,51253,51660,hypothetical protein,pCPF5603_55,ISHahy7,IS256,,Halanaerobium hydrogeniformans,36.2,0.045,plasmid
gene:plasmid:110296,plasmid,3897025,NC_007773.1,51789,52691,hypothetical protein,pCPF5603_56,IS1138B,IS3,IS150,Mycoplasma pulmonis,44.1,4.00E-04,plasmid
gene:plasmid:110297,plasmid,3897026,NC_007773.1,52716,52949,hypothetical protein,pCPF5603_57,ISSlsp2,IS5,IS5,Sulfurovum sp.,32.2,0.39,plasmid
gene:plasmid:110298,plasmid,3897027,NC_007773.1,53261,53572,hypothetical protein,pCPF5603_58,ISCbo9,IS607,,Clostridium botulinum,34.2,0.13,plasmid
gene:plasmid:110299,plasmid,3897028,NC_007773.1,54661,55041,hypothetical protein,pCPF5603_59,ISTusp1,IS1595,ISPna2,Turicibacter sp.,36.2,0.041,plasmid
gene:plasmid:110300,plasmid,3897029,NC_007773.1,55341,56066,hypothetical protein,pCPF5603_60,ISBth19,IS1595,ISPna2,Bacillus thuringiensis,36.2,0.081,plasmid
gene:plasmid:110303,likely IS/TE,3897032,NC_007773.1,60670,61125,IS1469 transposase,pCPF5603_63,IS1469,IS200/IS605,IS200,Clostridium perfringens,888,0,likely IS/TE
gene:plasmid:110305,plasmid,3897034,NC_007773.1,63293,63598,hypothetical protein,pCPF5603_65,ISDsac1,ISNCY,ISDol1,Desulfosporosinus acidiphilus,34.2,0.13,plasmid
gene:plasmid:110308,plasmid,3897037,NC_007773.1,65788,68280,putative Tn916 ORF15 protein,pCPF5603_68,ISMev1,IS5,,Methanohalobium evestigatum,36.2,0.28,plasmid
gene:plasmid:110310,plasmid,3897039,NC_007773.1,69386,71446,putative Tn916 ORF16 protein,pCPF5603_70,ISTki1,IS30,,Thermoanaerobacter kivui,36.2,0.23,plasmid
gene:plasmid:110311,plasmid,3897040,NC_007773.1,72184,72552,putative Tn916 ORF17 protein,pCPF5603_71,ISBce8,IS4,IS231,Bacillus cereus,34.2,0.16,plasmid
gene:plasmid:110312,plasmid,3897041,NC_007773.1,72564,72899,hypothetical protein,pCPF5603_72,ISHahy14,ISNCY,,Halanaerobium hydrogeniformans,36.2,0.036,plasmid
gene:plasmid:110313,plasmid,3897042,NC_007773.1,72911,73990,putative Tn916 ORF13 protein,pCPF5603_73,ISCldi2,IS1595,ISPna2,Clostridium disporicum,36.2,0.12,plasmid
gene:plasmid:110314,UNCLASSIFIED,3897043,NC_000000.0,0,0,,Manual,,,,,,,UNCLASSIFIED
gene:plasmid:110847,plasmid,4025227,NC_007960.1,14428,16809,putative phosphoketolase,Nham_4367,ISMex10,ISL3,,Methylobacterium extorquens,36.2,0.27,plasmid
gene:plasmid:110978,plasmid,4025485,NC_007960.1,117467,118072,hypothetical protein,Nham_4474,ISBrsp7,IS5,,Bradyrhizobium sp.,36.2,0.067,plasmid
gene:plasmid:110323,plasmid,3523462,NC_007206.1,29518,29991,hypothetical protein,pF1947_31,ISOt5,IS110,,Orientia tsutsugamushi,40.1,0.003,plasmid
gene:plasmid:110324,plasmid,3523463,NC_007206.1,30232,30747,hypothetical protein,pF1947_32,ISDeae1,IS1595,IS1595,Desulfopila aestuarii,32.2,0.89,plasmid
gene:plasmid:110325,plasmid,3523464,NC_007206.1,30986,31720,hypothetical protein,pF1947_33,ISHyma1,IS1595,IS1016,Hydrogenovibrio marinus,34.2,0.32,plasmid
gene:plasmid:110326,plasmid,3523465,NC_007206.1,31723,32043,hypothetical protein,pF1947_34,ISCaal1,IS1202,IS1202,Carnobacterium alterfunditum,36.2,0.035,plasmid
gene:plasmid:110329,plasmid,3523468,NC_007206.1,10449,10763,TraM/VirB2-like protein,pF1947_13,ISLmo16,IS3,IS150,Listeria monocytogenes,30.2,2.1,plasmid
gene:plasmid:110331,plasmid,3523470,NC_007206.1,11174,13597,TraB/VirB4-like protein,pF1947_15,ISTxy1,ISLre2,,Thermoanaerobacterium xylanolyticum,34.2,1.1,plasmid
gene:plasmid:110332,plasmid,3523471,NC_007206.1,13613,14311,TraC/VirB5-like protein,pF1947_16,ISRel10,IS1202,ISAba32,Rhizobium etli,34.2,0.31,plasmid
gene:plasmid:110333,plasmid,3523472,NC_007206.1,14338,15393,TraD/VirB6-like protein,pF1947_17,TnBth3,Tn3,,Bacillus thuringiensis,40.1,0.008,plasmid
gene:plasmid:110335,plasmid,3523474,NC_007206.1,15575,16348,TraE/VirB8-like protein,pF1947_19,ISHahy13,IS1202,ISTde1,Halanaerobium hydrogeniformans,34.2,0.34,plasmid
gene:plasmid:110338,plasmid,3523477,NC_007206.1,18311,19375,TraG/VirB11-like protein,pF1947_22,ISPae1,IS3,IS407,Prosthecochloris aestuarii,34.2,0.47,plasmid
gene:plasmid:110339,plasmid,3523478,NC_007206.1,19385,21175,TraK/VirD4-like protein,pF1947_23,ISLhe65,IS200/IS605,IS1341,Lactobacillus helveticus,36.2,0.2,plasmid
gene:plasmid:110340,plasmid,3523479,NC_007206.1,21226,21888,TrbM-like protein,pF1947_24,ISCco7,IS607,,Campylobacter coli,34.2,0.29,plasmid
gene:plasmid:110341,plasmid,3523480,NC_007206.1,22049,22474,single-stranded binding protein,pF1947_25,ISBsp5,IS1182,,Bacillus sp.,32.2,0.73,plasmid
gene:plasmid:110342,plasmid,3523481,NC_007206.1,22528,24780,TraE-like protein,pF1947_26,ISAzs11,ISAs1,,Azospirillum sp.,38.2,0.064,plasmid
gene:plasmid:110344,plasmid,3523483,NC_007206.1,25485,28835,relaxase NikB,pF1947_28,ISCpe4,IS200/IS605,IS1341,Clostridium perfringens,38.2,0.096,plasmid
gene:plasmid:110347,UNCLASSIFIED,3523486,NC_000000.0,0,0,,Manual,,,,,,,UNCLASSIFIED
gene:plasmid:110348,plasmid,3523487,NC_007206.1,1543,2118,site-specific recombinase,pF1947_02,ISMae6,IS5,IS5,Microcystis aeruginosa,34.2,0.25,plasmid
gene:plasmid:110349,plasmid,3523488,NC_007206.1,2201,3160,fic-1 cell filamentation-like protein,pF1947_03,ISCpe4,IS200/IS605,IS1341,Clostridium perfringens,34.2,0.42,plasmid
gene:plasmid:110350,plasmid,3523489,NC_007206.1,3309,3632,hypothetical protein,pF1947_04,ISSpn14,ISL3,,Streptococcus pneumoniae,34.2,0.14,plasmid
gene:plasmid:110351,plasmid,3523490,NC_007206.1,3625,4095,hypothetical protein,pF1947_05,ISEfa18,IS66,,Enterococcus faecium,32.2,0.81,plasmid
gene:plasmid:110353,plasmid,3523492,NC_007206.1,4853,5413,hypothetical protein,pF1947_07,ISSlo2,IS3,IS3,Shewanella loihica,32.2,0.97,plasmid
gene:plasmid:110355,plasmid,3523494,NC_007206.1,7491,8507,hypothetical protein,pF1947_09,ISPrre12,ISKra4,ISAzba1,Providencia rettgeri,32.2,1.8,plasmid
gene:plasmid:109626,plasmid,4397510,NC_008486.1,881,1429,replication protein,pMG8281_01,ISTco2,ISLre2,,Thermobacillus composti,38.2,0.015,plasmid
gene:plasmid:116141,plasmid,4414793,NC_008498.1,3022,3306,type II toxin-antitoxin system RelB/DinJ family antitoxin,LVIS_RS22860,ISTel5,IS4,IS4Sa,Thermosynechococcus elongatus,32.2,0.48,plasmid
gene:plasmid:116143,plasmid,4414795,NC_008498.1,5200,5453,,LVIS_RS22870,ISLba1,IS1595,IS1016,Levybacteria bacterium,30.2,1.7,plasmid
gene:plasmid:116144,plasmid,4414796,NC_008498.1,5480,5815,transcriptional regulator,LVIS_RS22875,ISYps2,IS110,,Yersinia pseudotuberculosis,32.2,0.57,plasmid
gene:plasmid:116145,plasmid,4414797,NC_008498.1,6653,7822,relaxase/mobilization nuclease domain-containing protein,LVIS_A07,ISNph27,IS200/IS605,IS1341,Natronomonas pharaonis,34.2,0.52,plasmid
gene:plasmid:116147,plasmid,4414799,NC_008498.1,8192,9301,replication initiator protein A,LVIS_RS22890,ISCco5,IS607,,Campylobacter coli,32.2,1.9,plasmid
gene:plasmid:116148,plasmid,4414800,NC_008498.1,9976,10563,DUF536 domain-containing protein,LVIS_RS22895,ISGlo5,IS5,,Geobacter lovleyi,32.2,1,plasmid
gene:plasmid:116149,plasmid,4414801,NC_008498.1,11197,11961,helix-turn-helix transcriptional regulator,LVIS_RS22900,ISHati3,IS91,,Halomonas titanicae,34.2,0.34,plasmid
gene:plasmid:110361,plasmid,4117961,NC_008120.1,50402,51232,lipoprotein,YPA_MT0051,ISRru1,IS3,IS51,Rhodococcus ruber,34.2,0.37,plasmid
gene:plasmid:110363,plasmid,4117963,NC_008120.1,52606,52872,hypothetical protein,YPA_MT0053,ISPye53,IS256,,Paracoccus yeei,32.2,0.45,plasmid
gene:plasmid:110367,plasmid,4117967,NC_008120.1,56001,56564,hypothetical protein,YPA_MT0057,ISShes11,Tn3,,Shewanella sp.,38.2,0.016,plasmid
gene:plasmid:110369,plasmid,4117969,NC_008120.1,57034,60558,DNA polymerase III,YPA_MT0059,ISGdi13,IS1182,,Gluconacetobacter diazotrophicus,40.1,0.025,plasmid
gene:plasmid:110378,plasmid,4117978,NC_008120.1,67734,68471,integrase,YPA_MT0068,ISNamo19,IS200/IS605,IS605,Natronomonas moolapensis,42.1,0.001,plasmid
gene:plasmid:110382,likely IS/TE,4117982,NC_008120.1,76385,77407,transposase,YPA_MT0072,IS1618,IS110,IS1111,Yersinia pestis,2028,0,likely IS/TE
gene:plasmid:110388,likely IS/TE,4117988,NC_008120.1,82850,83791,hypothetical protein,YPA_MT0078,ISSen7,ISNCY,ISPlu15,Salmonella enterica,178,1.00E-44,likely IS/TE
gene:plasmid:110395,plasmid,4117995,NC_008120.1,91021,91242,hypothetical protein,YPA_MT0085,ISAisp6,IS21,,Acidovorax sp.,36.2,0.023,plasmid
gene:plasmid:110396,plasmid,4117996,NC_008120.1,11765,12523,phage tail protein,YPA_MT0008,ISFal3B,IS5,IS1031,Frankia alni,34.2,0.33,plasmid
gene:plasmid:110400,plasmid,4118000,NC_008120.1,15253,18297,membrane protein,YPA_MT0012,ISPg4,IS4,IS4Sa,Porphyromonas gingivalis,36.2,0.34,plasmid
gene:plasmid:110402,plasmid,4118002,NC_008120.1,18655,18972,hypothetical protein,YPA_MT0014,ISMac10,IS1634,,Methanosarcina acetivorans,36.2,0.034,plasmid
gene:plasmid:110403,plasmid,4118003,NC_008120.1,19032,19778,hypothetical protein,YPA_MT0015,ISPa63,IS21,,Pseudomonas aeruginosa,32.2,1.3,plasmid
gene:plasmid:110406,plasmid,4118006,NC_008120.1,20702,21046,hypothetical protein,YPA_MT0018,ISPa42,Tn3,,Pseudomonas aeruginosa,32.2,0.58,plasmid
gene:plasmid:110410,plasmid,4118010,NC_008120.1,23192,24067,hypothetical protein,YPA_MT0022,ISSiac3,ISAzo13,,Singulisphaera acidiphila,36.2,0.098,plasmid
gene:plasmid:110411,plasmid,4118011,NC_008120.1,24094,24927,hypothetical protein,YPA_MT0023,ISAzba5,IS5,IS427,Azospirillum brasilense,36.2,0.093,plasmid
gene:plasmid:110414,plasmid,4118014,NC_008120.1,27817,28458,hypothetical protein,YPA_MT0026,ISArsp6,Tn3,,Arthrobacter sp.,34.2,0.28,plasmid
gene:plasmid:110422,plasmid,4118022,NC_008120.1,91253,91672,hypothetical protein,YPA_MT0086,ISHhu11,IS200/IS605,IS1341,Halobacterium hubeiense,34.2,0.18,plasmid
gene:plasmid:110423,plasmid,4118023,NC_008120.1,91726,92505,hypothetical protein,YPA_MT0087,ISEhe1,IS630,,Erwinia herbicola,36.2,0.087,plasmid
gene:plasmid:110424,plasmid,4118024,NC_008120.1,92904,93410,antirestriction protein,YPA_MT0088,ISPpa9,IS6,,Paracoccus pantotrophus,32.2,0.87,plasmid
gene:plasmid:110425,plasmid,4118025,NC_008120.1,94123,94353,hypothetical protein,YPA_MT0089,ISCrfl1,IS1595,ISSod11,Cryobacterium flavum,34.2,0.097,plasmid
gene:plasmid:110437,plasmid,4118037,NC_008120.1,28930,29820,hypothetical protein,YPA_MT0028,ISKqu3,IS110,,Klebsiella quasipneumoniae,36.2,0.099,plasmid
gene:plasmid:110446,plasmid,4118046,NC_008120.1,35316,35966,hypothetical protein,YPA_MT0037,ISMae37,ISL3,,Microcystis aeruginosa,34.2,0.29,plasmid
gene:plasmid:110450,plasmid,4118050,NC_008120.1,40519,41604,exonuclease subunit 1,YPA_MT0041,IS994,IS3,IS51,Renibacterium salmoninarum,44.1,5.00E-04,plasmid
gene:plasmid:115916,likely IS/TE,3399460,NC_007100.1,14726,15706,transposase,Rms149_p20,ISPa16,IS5,IS5,Pseudomonas aeruginosa,1945,0,likely IS/TE
gene:plasmid:115917,likely IS/TE,3399461,NC_007100.1,35335,38304,TnpA transposase,Rms149_p33,ISPa38,Tn3,,Pseudomonas aeruginosa,4115,0,likely IS/TE
gene:plasmid:115817,likely IS/TE,4405789,NC_008504.1,845,1105,transposase,LACR_B2,IS981,IS3,IS3,Lactococcus lactis,502,2.00E-142,likely IS/TE
gene:plasmid:115818,plasmid,4405790,NC_008504.1,2504,2815,,LACR_B3,ISMma1,ISH3,,Methanosarcina mazei,32.2,0.52,plasmid
gene:plasmid:115820,plasmid,4405792,NC_008504.1,5519,6124,,LACR_B5,ISBun2,IS1595,ISNwi1,Bacteroides uniformis,36.2,0.067,plasmid
gene:plasmid:115821,plasmid,4405793,NC_008504.1,7099,8256,replication initiator protein,LACR_B6,ISDeba1,ISNCY,ISDol1,Desulfobulbaceae bacterium,36.2,0.13,plasmid
gene:plasmid:115822,plasmid,4405794,NC_008504.1,8270,8797,hypothetical protein,LACR_B7,ISAsp2,ISAs1,,Anabaena sp.,34.2,0.23,plasmid
gene:plasmid:115823,plasmid,4405795,NC_008504.1,8794,9438,hypothetical protein,LACR_B8,ISBce11,IS4,IS231,Bacillus cereus,40.1,0.005,plasmid
gene:plasmid:115084,likely IS/TE,2847650,NC_005919.1,26315,27283,ISPssy transposase,PMA4326B20,ISPsfu1,IS5,IS5,Pseudomonas fulva,999,0,likely IS/TE
gene:plasmid:115087,likely IS/TE,2847653,NC_005919.1,32370,33347,ISPssy transposase,PMA4326B25,ISPsfu1,IS5,IS5,Pseudomonas fulva,1031,0,likely IS/TE
gene:plasmid:112498,plasmid,4226935,NC_008275.1,91023,92060,4-hydroxy-2-ketovalerate aldolase,pWW53_79,ISBph1,IS3,IS3,Burkholderia phymatum,36.2,0.12,plasmid
gene:plasmid:111121,plasmid,4224866,NC_008269.1,294639,296432,thiamine pyrophosphate-requiring protein,RHA1_RS37060,ISPa42,Tn3,,Pseudomonas aeruginosa,36.2,0.2,plasmid
gene:plasmid:111123,plasmid,4224868,NC_008269.1,297622,300693,FAD-binding oxidoreductase,RHA1_RS37070,IS1110,IS110,,Mycobacterium avium,36.2,0.35,plasmid
gene:plasmid:111132,plasmid,4224877,NC_008269.1,307330,308799,ornithine decarboxylase,RHA1_RS37115,ISMlu3,IS256,,Micrococcus luteus,36.2,0.16,plasmid
gene:plasmid:111166,plasmid,4224911,NC_008269.1,233589,233662,tRNA,RHA1_RS36735,ISGpr1,IS3,IS51,Marine gamma,30.2,0.41,plasmid
gene:plasmid:111191,plasmid,4224936,NC_008269.1,253985,256783,aconitate hydratase,RHA1_RS36835,ISChy9,IS200/IS605,IS605,Carboxydothermus hydrogenoformans,38.2,0.08,plasmid
gene:plasmid:111267,plasmid,4225012,NC_008269.1,333002,334505,,RHA1_RS37260,ISCARN48,IS66,,Metagenomic data,36.2,0.17,plasmid
gene:plasmid:111278,plasmid,4225023,NC_008269.1,341917,343800,molecular chaperone DnaK,RHA1_RS37315,ISVasp1,IS21,,Variovorax sp.,40.1,0.014,plasmid
gene:plasmid:111347,plasmid,4225092,NC_008269.1,198769,199911,DUF475 domain-containing protein,RHA1_RS36575,ISFK1,IS21,,Bradyrhizobium japonicum,36.2,0.13,plasmid
gene:plasmid:111457,plasmid,4225202,NC_008269.1,75253,76872,Pyoverdin chromophore biosynthetic protein pvcC,RHA1_RS35960,ISMlu5,ISL3,,Micrococcus luteus,36.2,0.18,plasmid
gene:plasmid:111538,plasmid,4225283,NC_008269.1,423785,424933,citrate synthase 2,RHA1_RS37725,ISBlo16,IS256,IS1249,Bifidobacterium longum,36.2,0.13,plasmid
gene:plasmid:111621,plasmid,4225366,NC_008269.1,501676,502854,,RHA1_RS38090,ISFsp17,ISKra4,ISKra4,Frankia sp.,38.2,0.033,plasmid
gene:plasmid:111683,likely IS/TE,4225428,NC_008269.1,568074,569381,IS256-like element ISRjo4 family transposase,RHA1_RS38375,ISRjo4,IS256,,Rhodococcus jostii,2593,0,likely IS/TE
gene:plasmid:111776,plasmid,4225521,NC_008269.1,1053853,1053929,tRNA,RHA1_RS40525,ISGpr1,IS3,IS51,Marine gamma,30.2,0.43,plasmid
gene:plasmid:111849,plasmid,4225594,NC_008269.1,667227,670262,hypothetical protein,RHA1_RS38820,ISRssp8,IS1380,,Roseovarius sp.,36.2,0.34,plasmid
gene:plasmid:111853,plasmid,4225598,NC_008269.1,672692,674347,DNA translocase,RHA1_ro08693,ISRe46,IS481,,Rhodococcus equi,40.1,0.012,plasmid
gene:plasmid:112079,plasmid,4225824,NC_008269.1,885931,887571,acyl-CoA carboxylase subunit beta,RHA1_RS39765,ISOar1,IS1595,ISPna2,Octadecabacter arcticus,38.2,0.047,plasmid
gene:plasmid:112081,plasmid,4225826,NC_008269.1,887894,889675,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha,RHA1_RS39775,ISBli28,IS3,IS51,Brevibacterium linens,44.1,8.00E-04,plasmid
